Bias_Type,V_cell,I_mA
Forward,0.0004,-0.0006
Forward,0.04832,0.0108
Forward,0.0955,0.0279
Forward,0.185,0.094
Forward,0.264,0.2378
Forward,0.325,0.494
Forward,0.369,0.862
Forward,0.406,1.42
Forward,0.421,1.77
Forward,0.433,2.14
Forward,0.444,2.53
Forward,0.461,3.35
Forward,0.474,4.22
Forward,0.484,5.11
Forward,0.493,6.02
Forward,0.501,7.03
Forward,0.508,8.05
Forward,0.514,9.0
Forward,0.520,10.02
Forward,0.529,12.02
Forward,0.537,14.03
Forward,0.545,16.06
Forward,0.551,18.0
Forward,0.557,20.04
Forward,0.568,24.23
Forward,0.580,29.12
Forward,0.590,34.04
Forward,0.600,39.07
Forward,0.609,44.09
Reverse,0.967,0.202
Reverse,1.876,0.815
Reverse,2.774,2.21
Reverse,3.532,4.65
Reverse,4.275,7.14
Reverse,5.133,8.73
Reverse,6.011,9.93
Reverse,6.875,11.3
Reverse,7.66,13.35
Reverse,8.50,14.9
