Bias_Type,V_diode,I_mA
Forward,0.09981,0.0004
Forward,0.15,0.0004
Forward,0.1999,0.0004
Forward,0.249,0.0003
Forward,0.3,0.0001
Forward,0.349,0.0008
Forward,0.399,0.0053
Forward,0.446,0.0228
Forward,0.488,0.0725
Forward,0.524,0.173
Forward,0.551,0.3243
Forward,0.571,0.518
Forward,0.588,0.741
Forward,0.601,0.985
Forward,0.612,1.72
Forward,0.636,2.12
Forward,0.644,2.54
Forward,0.652,2.97
Forward,0.658,3.40
Forward,0.666,4.02
Forward,0.677,5.01
Forward,0.686,6.02
Forward,0.693,7.04
Forward,0.698,7.99
Forward,0.704,9.03
Forward,0.709,9.99
Forward,0.713,11.04
Forward,0.717,12.01
Forward,0.72,12.98
Forward,0.724,14.03
Forward,0.727,15.0
Forward,0.73,15.98
Forward,0.733,17.04
Forward,0.735,18.04
Forward,0.739,19.06
Forward,0.742,20.04
Forward,0.747,22.61
Forward,0.757,27.59
Forward,0.765,32.6
Forward,0.772,37.65
Forward,0.779,42.78
Reverse,0.9999,0.0005
Reverse,2.0,0.0006
Reverse,3.0,0.0007
Reverse,4.001,0.0008
Reverse,5.001,0.0009
Reverse,7.502,0.0011
Reverse,10.001,0.0014
