Bias_Type,V_diode,I_mA
Forward,0.098,0.0004
Forward,0.196,0.0004
Forward,0.283,0.0002
Forward,0.343,0.0001
Forward,0.374,0.0008
Forward,0.384,0.0012
Forward,0.391,0.0016
Forward,0.398,0.002
Forward,0.403,0.0025
Forward,0.408,0.003
Forward,0.412,0.0034
Forward,0.415,0.0039
Forward,0.418,0.0044
Forward,0.421,0.0049
Forward,0.424,0.0054
Forward,0.444,0.0102
Forward,0.456,0.0152
Forward,0.472,0.0252
Forward,0.484,0.0352
Forward,0.492,0.0454
Forward,0.505,0.0657
Forward,0.519,0.0961
Forward,0.535,0.147
Forward,0.546,0.1979
Forward,0.555,0.2488
Forward,0.562,0.2997
Reverse,0.99,0.0005
Reverse,1.98,0.0005
Reverse,2.971,0.0007
Reverse,3.962,0.0008
Reverse,4.952,0.0009
Reverse,7.429,0.0011
Reverse,9.904,0.0014

