V_cell (V),I_c (mA)
-1.026,-29.41
-0.847,-29.21
-0.664,-29.02
-0.479,-28.91
-0.289,-28.78
-0.090,-28.68
-0.010,-28.63
0.070,-28.40
0.197,-27.70
0.250,-26.18
0.285,-24.55
0.313,-22.84
0.336,-21.09
0.357,-19.32
0.377,-17.53
0.395,-15.74
0.411,-13.92
0.419,-13.01
0.427,-12.10
0.435,-11.20
0.444,-10.29
0.450,-9.37
0.457,-8.46
0.465,-7.55
0.472,-6.63
0.479,-5.71
0.482,-5.25
0.485,-4.80
0.518,-0.250
0.520,-0.133
0.520,-0.067
0.520,-0.0077
0.521,0.058
0.521,0.1218
0.522,0.184
0.524,0.498
0.526,0.8176
0.528,1.132
0.530,1.430
